MPS value: 3
ITIME: 1 IFC: 4337
iFOIS: 1
One Run
Initial Cost 4780
Final Cost: 4337
% Savings: 10.2144339405119
ITIME: 2 IFC: 4500
ITIME: 3 IFC: 4387
ITIME: 4 IFC: 4337
ITIME: 5 IFC: 4476
ITIME: 6 IFC: 4316
iFOIS: 6
ITIME: 8 IFC: 4358
ITIME: 10 IFC: 4408
ITIME: 11 IFC: 4547
ITIME: 12 IFC: 4387
ITIME: 16 IFC: 4484
ITIME: 17 IFC: 4513
ITIME: 18 IFC: 4568
ITIME: 19 IFC: 4337
ITIME: 20 IFC: 4358
ITIME: 21 IFC: 4363
ITIME: 22 IFC: 4316
ITIME: 23 IFC: 4408
ITIME: 25 IFC: 4429
ITIME: 26 IFC: 4442
ITIME: 27 IFC: 4429
ITIME: 28 IFC: 4316
ITIME: 30 IFC: 4358
ITIME: 31 IFC: 4358
ITIME: 32 IFC: 4421
ITIME: 33 IFC: 4358
ITIME: 35 IFC: 4337
ITIME: 36 IFC: 4442
ITIME: 37 IFC: 4379
ITIME: 38 IFC: 4437
ITIME: 41 IFC: 4408
ITIME: 42 IFC: 4450
ITIME: 44 IFC: 4526
ITIME: 45 IFC: 4337
ITIME: 47 IFC: 4489
ITIME: 48 IFC: 4468
ITIME: 50 IFC: 4476
ITIME: 52 IFC: 4408
ITIME: 54 IFC: 4405
ITIME: 55 IFC: 4421
ITIME: 57 IFC: 4471
ITIME: 61 IFC: 4316
ITIME: 62 IFC: 4408
ITIME: 66 IFC: 4455
ITIME: 67 IFC: 4387
ITIME: 68 IFC: 4379
ITIME: 69 IFC: 4518
ITIME: 73 IFC: 4392
ITIME: 76 IFC: 4358
ITIME: 79 IFC: 4387
ITIME: 80 IFC: 4534
ITIME: 81 IFC: 4505
ITIME: 82 IFC: 4358
ITIME: 83 IFC: 4350
ITIME: 86 IFC: 4408
ITIME: 87 IFC: 4489
ITIME: 96 IFC: 4539
ITIME: 104 IFC: 4497
ITIME: 107 IFC: 4442
ITIME: 108 IFC: 4387
ITIME: 111 IFC: 4573
ITIME: 113 IFC: 4358
ITIME: 120 IFC: 4358
ITIME: 121 IFC: 4337
ITIME: 123 IFC: 4379
ITIME: 126 IFC: 4316
ITIME: 133 IFC: 4599
ITIME: 134 IFC: 4429
ITIME: 135 IFC: 4379
ITIME: 136 IFC: 4358
ITIME: 145 IFC: 4547
ITIME: 146 IFC: 4379
ITIME: 147 IFC: 4429
ITIME: 152 IFC: 4337
ITIME: 153 IFC: 4429
ITIME: 156 IFC: 4358
ITIME: 159 IFC: 4358
ITIME: 165 IFC: 4371
ITIME: 168 IFC: 4584
ITIME: 171 IFC: 4442
ITIME: 172 IFC: 4392
ITIME: 177 IFC: 4523
ITIME: 178 IFC: 4413
ITIME: 182 IFC: 4455
ITIME: 185 IFC: 4458
ITIME: 187 IFC: 4316
ITIME: 192 IFC: 4316
ITIME: 194 IFC: 4358
ITIME: 195 IFC: 4421
ITIME: 199 IFC: 4586
ITIME: 201 IFC: 4358
ITIME: 202 IFC: 4568
ITIME: 203 IFC: 4408
ITIME: 211 IFC: 4374
ITIME: 214 IFC: 4408
ITIME: 216 IFC: 4421
ITIME: 223 IFC: 4392
ITIME: 224 IFC: 4492
ITIME: 225 IFC: 4510
ITIME: 231 IFC: 4497
ITIME: 237 IFC: 4405
ITIME: 239 IFC: 4429
ITIME: 244 IFC: 4387
ITIME: 248 IFC: 4358
ITIME: 249 IFC: 4408
ITIME: 254 IFC: 4424
ITIME: 264 IFC: 4337
ITIME: 266 IFC: 4387
ITIME: 267 IFC: 4597
ITIME: 274 IFC: 4358
ITIME: 275 IFC: 4363
ITIME: 277 IFC: 4476
ITIME: 283 IFC: 4429
ITIME: 286 IFC: 4426
ITIME: 289 IFC: 4594
ITIME: 292 IFC: 4560
ITIME: 293 IFC: 4358
ITIME: 294 IFC: 4337
ITIME: 295 IFC: 4463
ITIME: 302 IFC: 4560
ITIME: 306 IFC: 4447
ITIME: 313 IFC: 4429
ITIME: 316 IFC: 4597
ITIME: 346 IFC: 4581
ITIME: 348 IFC: 4500
ITIME: 356 IFC: 4455
ITIME: 361 IFC: 4434
ITIME: 370 IFC: 4387
ITIME: 372 IFC: 4366
ITIME: 373 IFC: 4471
ITIME: 381 IFC: 4581
ITIME: 383 IFC: 4513
ITIME: 388 IFC: 4358
ITIME: 394 IFC: 4358
ITIME: 396 IFC: 4379
ITIME: 398 IFC: 4379
ITIME: 399 IFC: 4523
ITIME: 404 IFC: 4332
ITIME: 405 IFC: 4374
ITIME: 416 IFC: 4413
ITIME: 421 IFC: 4384
ITIME: 424 IFC: 4426
ITIME: 426 IFC: 4337
ITIME: 430 IFC: 4421
ITIME: 431 IFC: 4387
ITIME: 432 IFC: 4337
ITIME: 433 IFC: 4408
ITIME: 438 IFC: 4353
ITIME: 439 IFC: 4474
ITIME: 444 IFC: 4513
ITIME: 445 IFC: 4455
ITIME: 448 IFC: 4424
ITIME: 467 IFC: 4468
ITIME: 474 IFC: 4353
ITIME: 475 IFC: 4445
ITIME: 483 IFC: 4316
ITIME: 489 IFC: 4518
ITIME: 490 IFC: 4429
Best Order: 
1 
2 
6 
4 
3 
7 
10 
5 
9 
13 
8 
11 
14 
12 
18 
16 
17 
15 
19 
20 
21 
24 
22 
25 
23 
29 
28 
26 
30 
27 
33 
34 
31 
32 
36 
35 
37 
40 
38 
39 
Weights: 
1 
1 
1 
5 
2 
2 
6 
7 
7 
2 
5 
1 
5 
1 
5 
1 
2 
7 
7 
6 
6 
2 
1 
5 
1 
5 
2 
7 
7 
1 
1 
1 
6 
6 
6 
2 
6 
2 
1 
1 
Best of 500 runs
Initial Cost 4780
Final Cost 4316
% Savings: 10.7506950880445
It took: 6
% of Time it occured: 2
